date,temp_anomaly_c,co2_ppm,co2_deseasonalized,ch4_ppb,n2o_ppb,tsi_wm2,year,co2,methane,nitrous_oxide,land_use_change_co2,cement_co2,coal_co2,oil_co2,gas_co2,total_ghg,energy_per_capita,population,gdp,month,time_since_1960,co2_growth_rate,co2_12mo_avg,ch4_growth_rate,ch4_12mo_avg,tsi_anomaly,volcanic_flag,total_anthropogenic_co2
1984-01,0.31,344.21,344.32,1639.135,316.3,74.8,1984,19457.25,6767.443,2177.692,6424.799,421.117,7586.115,8238.706,2972.027,34452.648,17174.082,4782175518.0,31982615792285.0,1,288,1.009999999999991,343.04749999999996,-0.3949999999999818,1633.6683333333333,-21.45794871794871,0,25642.763999999996
1984-02,0.14,344.92,344.39,1638.74,316.3,110.2,1984,19457.25,6767.443,2177.692,6424.799,421.117,7586.115,8238.706,2972.027,34452.648,17174.082,4782175518.0,31982615792285.0,2,289,0.7100000000000364,343.0075,-0.3949999999999818,1634.7325,13.942051282051295,0,25642.763999999996
1984-03,0.26,345.68,344.26,1638.82,316.3,116.7,1984,19457.25,6767.443,2177.692,6424.799,421.117,7586.115,8238.706,2972.027,34452.648,17174.082,4782175518.0,31982615792285.0,3,290,0.7599999999999909,342.9691666666667,0.07999999999992724,1635.8033333333335,20.442051282051295,0,25642.763999999996
1984-03,0.26,345.68,344.26,1640.86,316.3,116.7,1984,19457.25,6767.443,2177.692,6424.799,421.117,7586.115,8238.706,2972.027,34452.648,17174.082,4782175518.0,31982615792285.0,3,290,0.0,342.96250000000003,2.0399999999999636,1637.0441666666666,20.442051282051295,0,25642.763999999996
1984-04,0.05,347.37,344.75,1642.415,316.3,90.4,1984,19457.25,6767.443,2177.692,6424.799,421.117,7586.115,8238.706,2972.027,34452.648,17174.082,4782175518.0,31982615792285.0,4,291,1.6899999999999977,343.2166666666667,1.5550000000000637,1638.4145833333332,-5.857948717948702,0,25642.763999999996
1984-05,0.33,347.77,344.59,1643.97,316.3,96.9,1984,19457.25,6767.443,2177.692,6424.799,421.117,7586.115,8238.706,2972.027,34452.648,17174.082,4782175518.0,31982615792285.0,5,292,0.39999999999997726,343.655,1.5550000000000637,1639.9145833333332,0.6420512820512982,0,25642.763999999996
1984-05,0.33,347.77,344.59,1643.15,316.3,96.9,1984,19457.25,6767.443,2177.692,6424.799,421.117,7586.115,8238.706,2972.027,34452.648,17174.082,4782175518.0,31982615792285.0,5,292,0.0,344.26416666666665,-0.8199999999999363,1641.1729166666664,0.6420512820512982,0,25642.763999999996
1984-06,0.02,347.16,344.73,1639.74,316.3,65.1,1984,19457.25,6767.443,2177.692,6424.799,421.117,7586.115,8238.706,2972.027,34452.648,17174.082,4782175518.0,31982615792285.0,6,293,-0.6099999999999568,344.8225,-3.410000000000082,1641.2829166666668,-31.157948717948713,0,25642.763999999996
1984-07,0.19,345.79,345.02,1638.865,316.3,55.7,1984,19457.25,6767.443,2177.692,6424.799,421.117,7586.115,8238.706,2972.027,34452.648,17174.082,4782175518.0,31982615792285.0,7,294,-1.3700000000000045,345.2608333333333,-0.875,1641.05375,-40.557948717948705,0,25642.763999999996
1984-08,0.19,343.74,345.12,1637.99,316.3,35.0,1984,19457.25,6767.443,2177.692,6424.799,421.117,7586.115,8238.706,2972.027,34452.648,17174.082,4782175518.0,31982615792285.0,8,295,-2.0500000000000114,345.42333333333335,-0.875,1640.4854166666667,-61.25794871794871,0,25642.763999999996
1984-09,0.21,341.59,344.76,1641.69,316.3,22.6,1984,19457.25,6767.443,2177.692,6424.799,421.117,7586.115,8238.706,2972.027,34452.648,17174.082,4782175518.0,31982615792285.0,9,296,-2.150000000000034,345.4066666666667,3.7000000000000455,1640.4087499999998,-73.6579487179487,0,25642.763999999996
1984-09,0.21,341.59,344.76,1650.61,316.3,22.6,1984,19457.25,6767.443,2177.692,6424.799,421.117,7586.115,8238.706,2972.027,34452.648,17174.082,4782175518.0,31982615792285.0,9,296,0.0,345.2725,8.919999999999845,1641.3320833333335,-73.6579487179487,0,25642.763999999996
1984-10,0.13,341.86,345.19,1652.605,316.3,12.6,1984,19457.25,6767.443,2177.692,6424.799,421.117,7586.115,8238.706,2972.027,34452.648,17174.082,4782175518.0,31982615792285.0,10,297,0.27000000000003865,345.07666666666665,1.9950000000001182,1642.4545833333332,-83.65794871794871,0,25642.763999999996
1984-11,0.06,343.31,345.41,1654.6,316.3,26.5,1984,19457.25,6767.443,2177.692,6424.799,421.117,7586.115,8238.706,2972.027,34452.648,17174.082,4782175518.0,31982615792285.0,11,298,1.4499999999999886,344.94249999999994,1.9949999999998909,1643.77625,-69.75794871794871,0,25642.763999999996
1984-11,0.06,343.31,345.41,1653.79,316.3,26.5,1984,19457.25,6767.443,2177.692,6424.799,421.117,7586.115,8238.706,2972.027,34452.648,17174.082,4782175518.0,31982615792285.0,11,298,0.0,344.74499999999995,-0.8099999999999454,1645.02375,-69.75794871794871,0,25642.763999999996
1984-12,-0.05,345.0,345.88,1656.19,316.3,21.4,1984,19457.25,6767.443,2177.692,6424.799,421.117,7586.115,8238.706,2972.027,34452.648,17174.082,4782175518.0,31982615792285.0,12,299,1.6899999999999977,344.68833333333333,2.400000000000091,1646.3012500000002,-74.85794871794872,0,25642.763999999996
1985-01,0.22,345.48,345.59,1655.895,316.3,17.8,1985,20144.863,6857.225,2176.914,6787.743,425.741,8144.824,8247.613,3089.7,35584.656,17320.572,4868943457.0,31982615792285.0,1,300,0.4800000000000182,344.5308333333333,-0.29500000000007276,1647.4245833333334,-78.45794871794871,0,26695.621
1985-02,-0.04,346.41,345.92,1655.6,316.3,20.7,1985,20144.863,6857.225,2176.914,6787.743,425.741,8144.824,8247.613,3089.7,35584.656,17320.572,4868943457.0,31982615792285.0,2,301,0.9300000000000068,344.4175,-0.29500000000007276,1648.39375,-75.5579487179487,0,26695.621
1985-03,0.17,347.91,346.56,1652.25,316.3,16.9,1985,20144.863,6857.225,2176.914,6787.743,425.741,8144.824,8247.613,3089.7,35584.656,17320.572,4868943457.0,31982615792285.0,3,302,1.5,344.42916666666673,-3.349999999999909,1649.1520833333334,-79.35794871794872,0,26695.621
1985-03,0.17,347.91,346.56,1654.61,316.3,16.9,1985,20144.863,6857.225,2176.914,6787.743,425.741,8144.824,8247.613,3089.7,35584.656,17320.572,4868943457.0,31982615792285.0,3,302,0.0,344.4916666666666,2.3599999999999,1650.39125,-79.35794871794872,0,26695.621
1985-04,0.12,348.66,346.08,1656.4,316.3,20.4,1985,20144.863,6857.225,2176.914,6787.743,425.741,8144.824,8247.613,3089.7,35584.656,17320.572,4868943457.0,31982615792285.0,4,303,0.75,344.73083333333335,1.790000000000191,1651.8525,-75.85794871794872,0,26695.621
1985-05,0.14,349.28,346.12,1658.19,316.3,32.4,1985,20144.863,6857.225,2176.914,6787.743,425.741,8144.824,8247.613,3089.7,35584.656,17320.572,4868943457.0,31982615792285.0,5,304,0.6199999999999477,345.19250000000005,1.7899999999999636,1653.5358333333334,-63.85794871794871,0,26695.621
1985-05,0.14,349.28,346.12,1655.88,316.3,32.4,1985,20144.863,6857.225,2176.914,6787.743,425.741,8144.824,8247.613,3089.7,35584.656,17320.572,4868943457.0,31982615792285.0,5,304,0.0,345.8333333333333,-2.3099999999999454,1654.7183333333332,-63.85794871794871,0,26695.621
1985-06,0.15,348.65,346.23,1650.06,316.3,28.3,1985,20144.863,6857.225,2176.914,6787.743,425.741,8144.824,8247.613,3089.7,35584.656,17320.572,4868943457.0,31982615792285.0,6,305,-0.6299999999999955,346.4216666666666,-5.820000000000164,1654.6725,-67.95794871794871,0,26695.621
1985-07,0.04,346.9,346.08,1648.435,316.3,39.9,1985,20144.863,6857.225,2176.914,6787.743,425.741,8144.824,8247.613,3089.7,35584.656,17320.572,4868943457.0,31982615792285.0,7,306,-1.75,346.8416666666667,-1.625,1654.325,-56.35794871794871,0,26695.621
1985-08,0.16,345.26,346.57,1646.81,316.3,10.1,1985,20144.863,6857.225,2176.914,6787.743,425.741,8144.824,8247.613,3089.7,35584.656,17320.572,4868943457.0,31982615792285.0,8,307,-1.6399999999999864,347.00416666666666,-1.625,1653.6758333333335,-86.15794871794871,0,26695.621
1985-09,0.13,343.47,346.59,1652.24,316.3,4.3,1985,20144.863,6857.225,2176.914,6787.743,425.741,8144.824,8247.613,3089.7,35584.656,17320.572,4868943457.0,31982615792285.0,9,308,-1.7899999999999636,347.0175,5.430000000000064,1653.5466666666664,-91.95794871794871,0,26695.621
1985-09,0.13,343.47,346.59,1662.48,316.3,4.3,1985,20144.863,6857.225,2176.914,6787.743,425.741,8144.824,8247.613,3089.7,35584.656,17320.572,4868943457.0,31982615792285.0,9,308,0.0,346.89000000000004,10.240000000000009,1654.0708333333332,-91.95794871794871,0,26695.621
1985-10,0.11,343.35,346.6,1664.99,316.3,22.0,1985,20144.863,6857.225,2176.914,6787.743,425.741,8144.824,8247.613,3089.7,35584.656,17320.572,4868943457.0,31982615792285.0,10,309,-0.12000000000000455,346.71250000000003,2.509999999999991,1654.82875,-74.25794871794871,0,26695.621
1985-11,0.05,344.73,346.82,1667.5,316.3,17.9,1985,20144.863,6857.225,2176.914,6787.743,425.741,8144.824,8247.613,3089.7,35584.656,17320.572,4868943457.0,31982615792285.0,11,310,1.3799999999999955,346.5725,2.509999999999991,1655.8204166666667,-78.35794871794872,0,26695.621
1985-11,0.05,344.73,346.82,1666.81,316.3,17.9,1985,20144.863,6857.225,2176.914,6787.743,425.741,8144.824,8247.613,3089.7,35584.656,17320.572,4868943457.0,31982615792285.0,11,310,0.0,346.30750000000006,-0.6900000000000546,1657.0337499999998,-78.35794871794872,0,26695.621
1985-12,0.13,346.12,347.04,1666.05,316.3,15.8,1985,20144.863,6857.225,2176.914,6787.743,425.741,8144.824,8247.613,3089.7,35584.656,17320.572,4868943457.0,31982615792285.0,12,311,1.3899999999999864,346.1583333333333,-0.7599999999999909,1657.9870833333334,-80.45794871794871,0,26695.621
1986-01,0.26,346.78,346.82,1666.17,316.3,2.8,1986,20438.045,6942.08,2184.726,6943.316,441.784,8261.466,8490.594,3014.606,36097.883,17385.945,4958072839.0,31982615792285.0,1,312,0.6599999999999682,346.0016666666667,0.12000000000011823,1658.8012499999998,-93.45794871794871,0,27151.765999999996
